Australian Business Number (ABN),Legal entity name,Service provider name,Legal entity postcode,Legal entity suburb/locality,Legal entity LGA,Service delivery postcode,Service delivery suburb/locality,Service delivery LGA,Longitude,Latitude,Funding agency,Program title,Sub-program title,Statewide,Purpose,Category1,Recipient type,Client group1,Assistance type1,Business specific activity,Funding source,Funding use,Financial year expenditure,Funding agreement duration,Funding agreement start,Funding agreement end,Total expenditure under this agreement to date,Total expenditure under this agreement notes
41372481576,MULTICULTURAL AUSTRALIA LTD,,4102,Buranda,Brisbane (C),4300,Bellbird Park,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"A 20 week after school and lunch time outreach program targeted at young people aged 7 to 17 years at Bellbird Park Secondary College.
The program aims to provide a safe and supportive environment for young people in the community to engage in positive activities, build social connections, and develop physical fitness.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,34731,1 year or less,8/06/2024,29/11/2024,34731,
41372481576,MULTICULTURAL AUSTRALIA LTD,,4102,Buranda,Brisbane (C),4301,Redbank Plains,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"A 20 week after school and lunch time outreach program targeted at young people aged 7 to 17 years at Redbank Plains State High School.
The program aims to provide a safe and supportive environment for young people in the community to engage in positive activities, build social connections, and develop physical fitness.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,34731,1 year or less,8/06/2024,29/11/2024,34731,
41372481576,MULTICULTURAL AUSTRALIA LTD,,4102,Buranda,Brisbane (C),4300,Springfield Central,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"A 20 week after-school social sports drop-in space program targeted at young people aged 7 to 17 years.
The program aims to provide a safe and supportive environment for young people in the community to engage in positive activities, build social connections, and develop physical fitness.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,23368,1 year or less,8/06/2024,29/11/2024,23368,
72667414628,GROWING COMMUNITIES AUSTRALIA LTD,,4812,Mysterton,Townsville (C),4812,Currajong,Townsville (C),,,DYJ,Community-based Crime Action,,No,"The Townsville-based program targets 8 to 17 year olds and offers hands-on life skills training, promoting a connection to culture through a return to the country and mentoring. The program is run four times for 6 weeks. Participants gain workplace safety training through the nationally recognised CPCWHS1001 course and have the opportunity to build a didgeridoo with elder Peter Santo. The program also creates connections through TAFE Queensland and other initiatives like Skilling Queenslanders for Work, providing avenues for further education, training, and employment opportunities.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,Multi-year,1/07/2024,19/09/2025,75000,
18161370412,SWIMON PTY LIMITED,,1234,Interstate,Interstate,4740,Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"This will provide a series of presentations delivered to nine schools targeting young people aged 14 to 19 years in the Whitsundays area. The presentations will be delivered by an athlete with a lived DFV experience and a QPS officer. The sessions will cover DFV trends and topics like coercive control. The speakers will promote healthy relationships, access to support and gender equity. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,25900,1 year or less,2/09/2024,6/09/2024,25900,
13419019806,CAPRICORNIA TRAINING COMPANY LIMITED,,4701,North Rockhampton,Rockhampton (R),4701,Berserker,Rockhampton (R),,,DYJ,Community-based Crime Action,,No,"This is a diversionary program targeting at risk young people aged 12 to 15 years. The program focuses on repairing and refurbishing bicycles to build self esteem, foster positive relationships to 8 individuals.  Mob Mentors provide support to First Nations participants.  ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,50000,1 year or less,14/08/2024,8/08/2025,50000,
72718278367,MULTICULTURAL FAMILIES ORGANISATION INCORPORATED,,4215,Southport,Gold Coast (C),4215,Southport,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"The PREVAYL project will be delivered in several schools with the aim of curbing youth violence by offering universal school-based programs and workshops that focus on life skills and therapy for students in grades 8 and 9. Participants will learn anger management, conflict resolution, and social skills to effectively address problems",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/07/2024,30/06/2025,75000,
98544197890,GOLD COAST YOUTH SERVICE INC,,4220,Miami,Gold Coast (C),4209,Coomera,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"Assists 12 to 18 year olds to engage in positive social activities, aiming to create a sense of community and belonging. The program supports young people to make positive choices for the future by teaching practical life skills and coping strategies through connection with peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,13182,1 year or less,13/06/2024,8/08/2024,13182,
47410115747,Family and Childrens Emerging Support Services Aboriginal and Torres Strait Islander Corporation,,4740,Mackay,Mackay (R),4740,Mackay,Mackay (R),,,DYJ,Community-based Crime Action,,No,"My Connect is provided to 30 young people aged 8 to 18 years and their families. The program focuses on cultivating cultural understanding and reinforcing cultural identity, resilience, and a profound sense of belonging among emerging leaders in the community. It employs therapeutic and trauma-informed interventions facilitated by local mentors who use culturally responsive tools and practices to empower young people. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,29/07/2024,29/11/2024,75000,
74851544037,THE ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS (QUEENSLAND) LIMITED,,4076,Wacol,Brisbane (C),4076,Wacol,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"The Y4P Program, using animal interactions, structured care and welfare activities, is specifically designed to deliver targeted learning outcomes for 10 to 16 year olds who are disengaged from mainstream schooling and have had interactions with QPS and/or Youth Justice. 
The program aims to improved emotional regulation skills, effective communication, and healthier relationships. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,5379,1 year or less,8/07/2024,18/04/2025,5379,
62672971162,FIGHT 4 YOUTH,,4223,Currumbin Waters,Gold Coast (C),4223,Currumbin Waters,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"A program for 10 to 17 year olds including at-risk kids, providing 20 sessions during the 8 week school term led by diverse facilitators, such as police. The program provides life skills for behavioural regulation, consequence awareness and exploring interest in future careers.   ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,23599,1 year or less,9/07/2024,30/08/2024,23599,
69943710324,THE MIGRANT CENTRE ORGANISATION INC.,,4215,Southport,Gold Coast (C),4215,Labrador,Gold Coast (C),,,DYJ,Community-based Crime Action,,No,"A youth program for 10 to 18 year olds, offering activities like forums, advocacy, education, and health initiatives, providing a supportive ""third space"" beyond home and school. It aims to boost well-being, education, and social ties, fostering belonging and resilience in communities.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/07/2024,30/06/2025,75000,
79611886178,JABALBINA YALANJI ABORIGINAL CORPORATION RNTBC,,4873,Mossman,Douglas (S),4873,Mossman,Douglas (S),,,DYJ,Community-based Crime Action,,No,"JOEYS is a culturally supportive 9 month program for young people aged 10 to 13 years and their families. The program focuses on cultivating cultural understanding and reinforcing cultural identity, resilience, and a profound sense of belonging among emerging leaders in the community. Intensive 1 – 2 day workshops focus on visual art, music, health and sexual health as well as individual counselling and Indigenous cultural healing.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,24/06/2024,31/03/2025,75000,
32671652752,YOGA ON THE INSIDE PTY LTD.,,4107,Salisbury,Brisbane (C),4814,Garbutt,Townsville (C),,,DYJ,Community-based Crime Action,,No,"TAIHS The Lighthouse Youth after hours diversionary services in Townsville
Trauma-informed yoga will be offered to young people aged 10 to 17 years at TAIHS. The program will deliver 8-10 weekly sessions over a 9 month period. The program combines healthy movement and mindfulness, using social-cognitive interventions to promote social competence, communication skills, and peer relationships. Participants will gain life skills such as responsible risk-taking, critical thinking, stress management, social connectivity, empathy, and self-confidence. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,11270,1 year or less,1/09/2024,6/12/2024,11270,
17655056152,TESTIMONY ARTS LTD,,4570,Curra,Gympie (R),4650,Maryborough,Fraser Coast (R),,,DYJ,Community-based Crime Action,,No,"This initiative targets at risk young males aged 14 to 18 years offering hands-on workshops with regional artists and craftspeople fostering transgenerational knowledge, community building and vocational training tailored to their interests. The initiate provides positive change for 15-20 participants through high-quality arts and cultural experiences.    ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,10/06/2024,31/12/2024,75000,
53726962730,Artists Envision Health Inc.,,4207,Mount Warren Park,Logan (C),4133,Logan Reserve,Logan (C),,,DYJ,Community-based Crime Action,,No,"The 5-partner project in Logan addresses community concerns by offering holistic learning and culturally safe initiatives focusing on personal growth, community well-being, and societal connections for youth aged 10 to17 years, including those in the Youth Justice system. The program aims to empower youth from First Nations and multicultural backgrounds to become self-empowered individuals, respectful of their peers, police officers, and elders, as well as responsible citizens in Logan. ",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,74000,1 year or less,15/07/2024,13/03/2025,74000,
58009666193,QUEENSLAND POLICE-CITIZENS YOUTH WELFARE ASSOCIATION,,4064,Milton,Brisbane (C),4892,Wellesley Islands,Mornington (S),,,DYJ,Community-based Crime Action,,No,This is an after school diversionary program targeting 12 to 18 year olds in community. The program operates during the school term and provides various activities to encourage pro-social interactions and positive peer connections.,Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,75000,1 year or less,1/07/2024,30/06/2025,75000,
58009666193,QUEENSLAND POLICE-CITIZENS YOUTH WELFARE ASSOCIATION,,4064,Milton,Brisbane (C),4871,Yarrabah,Yarrabah (S),,,DYJ,Community-based Crime Action,,No,This is a diversionary program targeting young people in community from 3pm-9pm weekdays. The program provides various social and sporting activities to encourage pro-social interactions and positive peer connections. ,Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,50000,Multi-year,8/07/2024,31/12/2025,50000,
58009666193,QUEENSLAND POLICE-CITIZENS YOUTH WELFARE ASSOCIATION,,4064,Milton,Brisbane (C),4034,Zillmere,Brisbane (C),,,DYJ,Community-based Crime Action,,No,"After Dark assists 12 to 18 year olds to engage in positive social activities, aiming to create a sense of community and belonging. The program supports young people to make positive choices for the future by teaching practical life skills and coping strategies through connection with peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,5350,1 year or less,1/07/2024,30/06/2025,5350,
58009666193,QUEENSLAND POLICE-CITIZENS YOUTH WELFARE ASSOCIATION,,4064,Milton,Brisbane (C),4306,Brassall,Ipswich (C),,,DYJ,Community-based Crime Action,,No,"A monthly Drop in Program on run on a Saturday evening targeting 12 to 18 year olds to engage in positive social activities, aiming to create a sense of community and belonging.  The program provides mentoring to young people to make positive choices for the future by teaching practical life skills and coping strategies through connection with peers.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,8420,1 year or less,1/07/2024,30/06/2025,8420,
47291464804,LUTHERAN CHURCH OF AUSTRALIA QUEENSLAND DISTRICT (LUTHERAN COMMUNITY CARE),,4064,Milton,Brisbane (C),4510,Caboolture,Moreton Bay (R),,,DYJ,Targeted Responses to Youth Crime,,No,"COMPASS provides case management support for young people at risk or in contact with the youth justice system. Up to 40 young people aged 10-17 and their families will receive support for up to 6 months, with focus on addressing the underlying causes of offending, helping young people and families navigate complex challenges.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,300000,1 year or less,1/07/2024,30/06/2025,300000,
20671319950,Mareeba Community Centre Incorporated,,4880,Mareeba,Mareeba (S),4880,Mareeba,Mareeba (S),,,DYJ,Targeted Responses to Youth Crime,,No,"Youth Connections & Night Patrol Service provides intensive case management support and night patrols targeting at-risk young people in Mareeba. It includes intensive Monday to Friday case management for around 30 young people aged 10-25, providing guidance and support, as well as night patrols three nights a week between 7-10 pm, offering a safe presence in the community.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,300000,Multi-year,13/09/2024,13/03/2026,300000,
81429537800,"WENITONG, ADAM JEFFREY",Adapt Mentorship and Consultancy,4350,Rangeville,Toowoomba (R),4350,Toowoomba,Toowoomba (R),,,DYJ,Targeted Responses to Youth Crime,,No,"In Country Kinnection is a 48-week transformative crime prevention project held at Gummingurru Traditional Site. It integrates elements of Landcare, Lore, Cultural identity, mentorship, and community development. Five very high-risk First Nations young men will receive intensive cultural mentoring, including two days per week of on-country mentoring, to improve cultural connectedness.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,231932,1 year or less,24/06/2024,26/05/2025,231932,
17575363535,THE BUSY GROUP LTD,,4215,Southport,Gold Coast (C),4810,Townsville,Townsville (C),,,DYJ,Targeted Responses to Youth Crime,,No,"BUSY Step Up is an adolescent family violence intervention program addressing youth violence and abuse towards family members or intimate partners. The program supports a minimum of 40 young people aged 10-17 over 12 months, offering one-on-one case management and outreach. Sessions include making a safety plan, understanding warning signs, assertive communication, and problem-solving.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,298667,1 year or less,12/08/2024,8/06/2025,298667,
15000002522,Mission Australia,,1234,Interstate,Interstate,4880,Mareeba,Mareeba (S),,,DYJ,Targeted Responses to Youth Crime,,No,"Deadly Me offers a 14-week cultural capability program for at-risk Aboriginal and Torres Strait Islander youth aged 8-17 in Mareeba Shire and Tablelands. Facilitated by Aboriginal Elders, the program covers history, identity, belonging, family values, and accountability, and concludes with an on-country camp. It operates after hours and targets young people transitioning from detention, on Youth Justice orders, engaged in the youth justice system, or at risk of offending, including young women, with a minimum of 40 participants.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,300000,1 year or less,1/07/2024,30/06/2025,300000,
31476338009,Domestic Violence Prevention Centre Gold Coast Inc,,4215,Southport,Gold Coast (C),4215,Southport,Gold Coast (C),,,DYJ,Targeted Responses to Youth Crime,,No,"Holding Hope, Creating Change is an early intervention program for young people aged 5-17 who use violence against their family members. It prioritises Aboriginal and Torres Strait Islander families and offers whole-family wrap-around support through care coordination and trauma-informed education. The program employs two practitioners who provide weekly or fortnightly sessions, focusing on communication skills and safety planning. Caseworkers manage up to 10 cases each.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,300000,1 year or less,16/09/2024,15/09/2025,300000,
69131388102,IFYS LIMITED,,4558,Maroochydore,Sunshine Coast (R),4558,Maroochydore,Sunshine Coast (R),,,DYJ,Targeted Responses to Youth Crime,,No,"The RESET Program supports young people aged 10-16 with intensive case management and outreach. It aims to serve up to 50 young people who interact with police and courts, offering focused support over the funding period. Additionally, the outreach component provides brief support, referrals, and psycho-social or social engagement opportunities to a further 100 young people, fostering positive connections within the youth justice system.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,300000,1 year or less,23/09/2024,19/09/2025,300000,
99008610035,SAVE THE CHILDREN AUSTRALIA,,1234,Interstate,Interstate,4825,Townview,Mount Isa (C),,,DYJ,Targeted Responses to Youth Crime,,No,"Specialist Youth Violence Prevention (SYVP) is a 12-month project in Mt Isa and Doomadgee targets young men aged 13-18 who use or are at risk of using intimate partner violence. Delivered in partnership with Natjul Indigenous Performing Arts, the program uses culturally responsive approaches, mentoring, and one-on-one support to change young men's attitudes and behaviour towards IPV, and build healthier relationships.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,300000,Multi-year,31/07/2024,1/08/2025,300000,
50275271535,CARBAL ABORIGINAL AND TORRES STRAIT ISLANDER HEALTH SERVICES LTD,,4350,Toowoomba,Toowoomba (R),4350,Toowoomba,Toowoomba (R),,,DYJ,Targeted Responses to Youth Crime,,No,"CULTUREGUARD: YOUTH HARMONY PROGRAM is an 8-month cultural safety training initiative for professionals working with young people in the justice system. Delivered online and in-person, the program is similar in structure to mental health first aid, equipping professionals to address criminogenic behaviour and tailor responses to the unique needs of young people aged 10-13 and young women at risk.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,280000,1 year or less,1/07/2024,30/06/2025,280000,
15101252171,Life Without Barriers,,1234,Interstate,Interstate,4226,Robina,Gold Coast (C),,,DYJ,Community Partnerships Innovation Grants,,No,"Life Without Barriers (LWB) plans to pilot the Youth Advocate Program (YAP) on the Gold Coast. YAP is an evidence-informed youth justice intervention that has achieved outcomes with some of the world’s ‘riskiest’ young people in the United States, Ireland, South Africa, Sierra Leone and New South Wales, including young people with gang affiliations and known gun-related histories.",Youth,Community group/not for profit,Children under 16 years,Grant,,Queensland Government,Operational,226491,1 year or less,1/11/2023,30/10/2024,226491,
